"","Habitants en milliers","Population par km2","0–19","20–64","65 ou plus","Population urbaine en %","Etrangers en %","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés en milliers","Taille moyenne des ménages en personnes","Allemand","Français","Italien","Romanche","Anglais","Catholiques romains","Evangéliques réformés","Sans appartenance religieuse","Surface en km²","Surfaces d'habitat et d'infrastructure en %","Surfaces agricoles en %","Surfaces boisées en %","Surfaces improductives en %","Taux d'activité net (15 - 64 ans)","Taux de chômage (selon le SECO)","Produit intérieur brut par habitant, en francs","Variation du PIB cantonal en %","Surface agricole utile par exploitation en ha","Taux de logements vacants","Surface moyenne par habitant en m²","Nouveaux logements construits pour 1000 habitants","Voitures de tourisme pour 1000 habitants","Transports publics","Transport privé motorisé","Taux d'aide sociale","Médecins dans le secteur ambulatoire pour 100 000 habitants","Lits pour 1000 habitants","Taux d'hospitalisation en soins aigus (pour 1000 habitants)","Durée moyenne d'hospitalisation en soins aigus en jours","Sans formation postobligatoire (dès 25 ans)","Degré secondaire II (dès 25 ans)","Degré tertiaire (dès 25 ans)","Taux de diplômes des hautes écoles","PLR","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite","Infractions en % de la population totale selon le Code pénal (CP)","Infractions en % de la population totale selon la Loi sur les stupéfiants et les produits psychotropes (LStup)","Infractions en % de la population totale selon la Loi sur les étrangers (LEtr)"
"LU",406.506,284.4429827937,20.3854309653,62.2121198703,17.4024491643,63.7159107123,18.4484361854,4.9956599741,1.5656195865,10.8259878035,7.5984408009,174.242,2.288467,88.7822100906,1.7861116468,3.0829711166,0.179856025159845,3.9650491774,60.1397439511,10.2612410806,18.0062009524,1493.28,9.6338262081,53.4494535519,29.9320957891,6.9846244509,84.21,1.8,66611.3622,3.43225,16.4925945447,1.4385767599,46,7.0518253996,537.2077631,25.52,57.87,2.547,171.4611838,3.8818413037,129.3486443005,5.381912453,19.86383084,48.15081455,31.98535462,25.76,18.4659,23.8516,13.5591,28.515,0.631,5.7691,1.3672,NA,7.0727,0.0873,46.3935031743,5.8156109242,1.9087896043
"NE",177.964,248.3033820739,21.3183565215,59.8812119305,18.800431548,89.9035760041,25.3719853454,3.9603849315,2.0082405177,9.861695056,9.0426919398,80.923,2.157953,5.5251175738,87.5797153727,6.0607504305,0.0678938671058811,4.1890981358,21.3960484316,20.1308114804,44.8468307822,802.26,8.3526537531,41.6947124374,38.4787973974,11.4738364121,78.82,4.6,85275.5279,-1.12942,39.056197026,2.0382259924,44,3.0318853274,544.5631052,25.13,62.28,7.539,228.6979389,3.4889771459,140.1912746398,5.014291425,27.20134382,40.5318247,32.26762382,33.2,24.4252,3.5698,23.6589,20.3845,NA,3.3845,0.9583,12.2215,9.3088,NA,65.7848314638,11.581087211,2.4192599976
"NW",42.969,178.0434242148,18.3108752822,61.9516395541,19.7374851637,50.6248690917,14.5616607322,5.4720841859,1.520023385,9.7749196141,7.8105817013,18.809,2.248817,92.0925007535,1.74329555853906,2.10264808066416,NA,5.11274899306792,66.2739403239,10.4666136943,15.012192783,275.94,5.370732768,37.0261651084,33.311589476,24.2915126477,84.71,1,69047.92652,0.36989,13.7118202765,1.9020490674,49,5.4219707685,626.3746593,16.91,68.11,0.916,123.3447369,1.6763279804,134.8181246945,4.590787971,17.04984424,50.45482866,32.4953271,28.13,NA,NA,NA,82.8175,NA,NA,NA,NA,NA,NA,28.691606354,2.749318545,1.4804022934
"OW",37.575,78.1802671549,20.2847638057,61.4211576846,18.2940785096,27.2415169661,14.6879574185,4.6162261684,1.147385695,10.0596373728,7.4446653236,15.905,2.32713,91.4565335204,1.97736363926169,1.07212949089866,NA,4.34505403423762,69.2084542064,6.88259109311741,15.9839331824,490.64,3.8296918311,36.857981412,40.6958258601,18.6165008968,85.47,0.7,66877.79528,3.52162,12.458672,0.7024116132,48,7.2553673535,596.2865857,13.17,68.64,1.153,130.405855,1.4105123087,140.7850964737,4.415577342,18.64257382,52.56353753,28.79388864,25.49,NA,NA,NA,34.529,NA,NA,NA,NA,NA,NA,33.2013483868,2.1938038418,1.5784686179
"SG",504.686,258.6674183794,20.6367919855,61.3866839976,17.9765240169,82.4578054473,23.9616315888,4.9243575004,1.8009646181,10.3351938668,7.7161505027,218.057,2.278955,87.9709479504,1.1754518269,3.6993070044,0.422506060440253,3.5434841049,44.2475181337,21.1617013482,18.4508586912,2030.73,9.5571543238,46.4975649151,30.4988846375,13.4463961236,82.2,2,72884.02622,2.53352,17.8523673178,2.1992116256,47,5.6585815475,554.7764211,21.96,60.54,2.241,194.7745727,4.5882373951,154.5753201,4.956254661,21.48484237,50.55996596,27.95546799,22.74,14.2935,16.5525,14.1798,35.7979,1.7509,4.8875,3.6347,NA,5.746,1.2088,34.2989382193,9.2209363409,2.429599325
"SH",81.351,272.8434397639,18.8098486804,60.1996287692,20.9905225504,89.7911519219,26.0181190151,4.7125585986,1.7764618801,9.215396003,9.1167036763,36.796,2.170725,88.3711430447,1.65876431541323,3.59471879787001,NA,3.79312860164855,23.3598366037,34.7319279306,25.1105113429,298.43,11.4030090809,43.8896893744,43.3569011158,1.3504004289,80.65,3.1,87082.75367,4.18634,27.437231993,2.4699010609,51,5.8369657798,561.8492243,29.72,54.85,2.713,185.6154196,3.5819414709,149.2790500424,5.2522005,18.81023319,50.6316683,30.5580985,26.42,12.9019,NA,28.8134,45.2923,NA,NA,NA,NA,3.4235,5.1271,47.2458492739,13.656229494,4.9400141143
"SO",271.432,343.3892086786,19.0788116361,61.5878009962,19.3333873677,86.0996492676,22.3334021044,4.7959502508,1.7933969712,9.4476891988,9.0372416445,119.95,2.226369,88.4441862801,2.6313835618,4.8557215669,0.0845914214712164,3.6192988509,33.3235793804,20.9388252456,30.5904344294,790.37,13.856801245,42.310563407,42.7420069082,1.0906284398,82.97,2.3,65395.87355,0.99369,23.1987368925,2.9829869623,49,5.1010066887,579.6853486,21.66,63.53,3.696,163.5768811,2.5352095048,155.0296206785,5.22003868,19.87107035,51.99495884,28.13397081,23.12,21.2244,14.7994,20.0285,28.8292,1.2026,3.4502,3.4206,NA,5.5553,0.5052,54.6798742582,5.7860533475,1.6107422404
"SZ",157.301,184.7752287651,19.5453302903,63.0072281804,17.4474415293,81.9854927814,21.0875963916,5.0772119401,1.858451163,9.6435094711,6.8143209309,66.978,2.307832,89.5374324048,1.85133218557311,3.2870437084,0.447769247104686,5.7481551145,60.0124382826,10.2934372891,18.3229554573,908.03,6.0603724547,40.5438146317,33.7367708115,19.6590421021,83.27,1.4,59924.92627,2.75562,14.9355132827,1.4388489209,49,9.0984016146,641.935546,18.64,67.47,1.384,140.4949746,2.0431642571,149.2234632965,4.484571082,19.4545929,47.77574809,32.76965901,25.99,20.6033,19.4539,13.0872,42.6342,NA,2.815,NA,NA,1.4064,NA,25.9907739489,7.500176437,2.0723327538
"TG",273.801,317.2260777885,20.3523727086,62.3923944763,17.2552328151,67.1275853631,24.7197782331,5.1422379754,1.7446878845,10.317533195,7.2946318709,118.119,2.288082,89.566756243,1.164929759,4.330689738,0.200564086430272,3.2492189378,31.1782569749,32.278080007,21.4992025518,991.51,12.2742080261,51.9389617856,21.3895976843,14.397232504,83.13,2.1,60834.40661,3.29853,19.2305978591,2.42316339,51,7.2206080866,629.934727,17.35,67.39,1.755,159.9701973,5.6948369619,150.0871070595,5.086477388,19.00334135,52.16985934,28.82679931,23.86,13.0075,13.1289,12.6932,39.8656,2.3463,6.1675,3.761,NA,5.4374,3.4295,33.9072583475,5.7257054623,2.8185246889
"TI",353.709,129.0423672853,18.3113802589,59.3824301898,22.3061895513,92.6931460607,27.8723470423,3.8102823959,1.8302913214,7.8352285887,9.1232113704,162.553,2.139548,10.4800271224,4.8145636812,88.7697850813,0.137954905636546,3.4591069541,65.2719887788,3.9683172792,20.1467137321,2812.25,5.6470797404,12.9437283314,50.693572762,30.7156191661,73.89,3,83415.82861,1.13661,12.7003309654,2.0210141923,48,6.4782665523,635.8716049,18.1,68.3,2.721,223.0647227,5.5299695512,164.5618290742,6.212140903,24.25704689,43.2991906,32.44376251,30.19,23.7298,20.0804,15.9328,11.3039,NA,0.8482,NA,0.5203,3.5281,21.6847,39.7093474427,10.6328042328,2.8980599647
"UR",36.299,34.3304897195,20.2732857654,59.6600457313,20.0666685033,88.4817763575,12.0416540401,4.7208878582,1.2699464414,9.6626359671,9.9111037491,15.118,2.350708,93.4510401484,NA,2.57161342255201,NA,2.10857681860342,79.6442294952,4.63429177156486,9.40439909897973,1076.3,1.855430642,24.1763448853,20.0984855524,53.8697389204,84.92,0.8,52827.33054,0.32267,11.8380667838,1.4067340409,46,7.3944347149,548.3192696,10.65,67.26,1.303,96.42138902,1.6804870658,148.1583514697,4.931367691,28.3488738,49.00809639,22.64302981,22.93,NA,26.8469,NA,44.0845,NA,NA,NA,NA,26.2828,NA,22.7140683359,1.549315258,2.8496334209
"VD",793.129,281.1427,21.99466,61.64256,16.36279,89.5824,33.53956,4.382899,2.035551,11.00921,7.286665,344.627,2.253352,5.763239,83.42229,5.426933,0.06054654,8.613576,29.0595,22.74306,32.62092,3212.21,9.320997,42.40787,32.13706,16.13406,78.43,3.8,72232.42,7.43315,29.86503,1.081701,43,7.2019,528.3083,32.52,56.28,4.721,242.9617,4.753905,125.1511,6.042347,24.32258,36.68737,38.99005,28.25,26.8365,4.0533,22.2042,22.5585,1.0609,3.8918,1.8085,2.8771,11.2503,0.8272,64.83763,15.09642,5.185889
"VS",341.463,65.4910249353,19.8630598337,60.8086381248,19.3283020415,78.6703098139,22.9544635876,4.1255349752,1.9187851416,9.5762952167,8.1070876044,148.173,2.259642,24.9045758048,68.1663482939,3.8832127022,0.0573074394069505,3.774557053,69.7828639526,5.3430539247,15.3250030669,5224.77,3.5337440691,18.9872472855,23.9763664238,53.5026422216,79.54,3.1,53275.97109,0.96526,12.6323682679,2.3656177396,45,9.9345836709,640.5258627,13.86,69.73,1.723,165.7573441,3.9927389,138.5801682759,5.797477187,28.0958652,44.80622777,27.0975043,27.46,18.1378,39.7915,13.2567,22.1426,1.4139,NA,NA,NA,4.8868,NA,36.0845106965,9.3550251197,3.2048258131
"ZG",125.421,605.430585055,20.2270752107,63.057223272,16.7157015173,100,27.8988367179,5.0768138782,1.5318664309,10.0814455686,6.3760932594,53.689,2.296821,81.5383138083,3.4597657,3.7487996927,0.237243777607067,11.3059343192,50.2919147302,13.703668139,23.2139427693,238.71,13.849440744,43.4250764526,27.3511792552,15.3743035482,82.68,2.2,153895.3896,3.27815,19.0555023214,0.4419300478,47,7.3034535838,652.7253364,30.59,52.06,1.742,208.8964368,4.5770447876,133.5183103308,4.562639745,14.60758502,41.41626232,43.97615266,29.52,17.6401,26.4429,13.7528,30.4596,NA,3.5805,NA,NA,7.1575,NA,39.3552134766,4.219511408,3.4934004583
"ZH",1504.346,905.7741866,19.7330933,63.2913572,16.9755495,99.3221639,26.7446452,5.5034313,1.9911005,11.4092266,7.4029639,671.443,2.197034,82.1882884,3.1668863,5.8590682,0.3964018,8.6480664,26.2166954,28.3181216,29.2049363,1728.85,21.8601961,41.6542789,30.3508112,6.1347138,83.75,2.7,93741.89985,-0.56308,21.3889015,0.9934246,44,6.8179462,495.4720159,46.43,40.59,3.286,258.4511808,4.2353853,141.7393339,5.2922809,15.733996,41.8714751,42.3945289,21.72,15.3216,4.1839,21.392,30.6816,3.1175,8.1599,3.6228,0.24,6.8892,2.2369,59.7196581,8.6379488,6.0975733
