"","Habitants en milliers","Population par km2","0–19","20–64","65 ou plus","Population urbaine en %","Etrangers en %","Taux brut de nuptialité","Taux brut de divortialité","Taux brut de natalité","Taux brut de mortalité","Ménages privés en milliers","Taille moyenne des ménages en personnes","Allemand","Français","Italien","Romanche","Anglais","Catholiques romains","Evangéliques réformés","Sans appartenance religieuse","Surface en km²","Surfaces d'habitat et d'infrastructure en %","Surfaces agricoles en %","Surfaces boisées en %","Surfaces improductives en %","Taux d'activité net (15 - 64 ans)","Taux de chômage (selon le SECO)","Produit intérieur brut par habitant, en francs","Variation du PIB cantonal en %","Secteur primaire","Secteur secondaire","Secteur tertiaire","Secteur primaire","Secteur secondaire","Secteur tertiaire","Part des surfaces bio dans la surface agricole utile totale en %","Surface agricole utile par exploitation en ha","Taux de logements vacants","Taux de logements occupés par leur propriétaire","Surface moyenne par habitant en m²","Nouveaux logements construits pour 1000 habitants","Voitures de tourisme pour 1000 habitants","Transports publics","Transport privé motorisé","Taux d'aide sociale","Médecins dans le secteur ambulatoire pour 100 000 habitants","Lits pour 1000 habitants","Taux d'hospitalisation en soins aigus (pour 1000 habitants)","Durée moyenne d'hospitalisation en soins aigus en jours","Sans formation postobligatoire (dès 25 ans)","Degré secondaire II (dès 25 ans)","Degré tertiaire (dès 25 ans)","Taux de diplômes des hautes écoles","PLR","PDC","PS","UDC","PEV/PCS","PVL","PBD","PST/Sol.","PES","Petits partis de droite","Infractions en % de la population totale selon le Code pénal (CP)","Infractions en % de la population totale selon la Loi sur les stupéfiants et les produits psychotropes (LStup)","Infractions en % de la population totale selon la Loi sur les étrangers (LEtr)"
"JU",73.419,87.5588842113,20.9686865798,58.148435691,20.8828777292,53.2954684755,14.6665032212,3.9806692159,2.3311453285,9.3109488852,9.2700515987,31.985,2.257339,6.64511788931367,90.2882832625068,2.97963804617126,NA,1.85406992961097,66.9220798399,8.6567017244,15.5397312419,838.61,6.695603439,48.7365998498,43.5160563313,1.0517403799,78.2342630750211,3.414,63236,2.4555,3.059,15.522,24.305,1081,1209,4098,17.9280731574,39.8879047337,2.5876612422,52.8,47.3475241921,6.2498290528,592.3727657,15.45,72.71,3.2951,151.1870224,4.7489480066,163.3092251325,5.049550105,27.6565914723397,46.6704542895949,25.6729542380653,34.08,9.073483852,22.758374752,27.008714646,14.471660686,11.063810819,NA,NA,NA,15.623955246,NA,33.3469777596,5.471414927,2.7015963979
"LU",409.557,286.5758428146,20.3544317397,62.0489944013,17.5965738591,63.7598673689,18.5285564647,4.9211886827,1.7229061972,10.8153414626,7.6954842947,176.401,2.277912,88.867552125844,1.70690806559323,3.14016472508719,0.19337928025525,4.14038732655635,60.3496327076,10.0366550419,18.1194627885,1493.28,9.6338262081,53.4494535519,29.9320957891,6.9846244509,81.9598947195043,1.6218,66655,1.1455,13.624,57.132,180.065,4752,4620,22923,10.0729904681,16.6024567858,1.5050495393,35.3,46.3546041744,6.777442569,532.3070262,25.52,57.87,2.4046,177.2647031,3.8450098155,127.1202787402,5.382340545,18.237171860006,49.0901978619849,32.6726302780091,24.25,15.558173557,25.490116765,13.517649597,24.746008953,0.712169323,7.0978447,NA,NA,12.228227894,0.148821562,43.9255509144,7.4882043561,2.0885300586
"NE",176.85,246.742193822,21.1258128357,59.8314956178,19.0426915465,87.8252756573,25.2796154934,3.5793401613,2.3110700254,9.3344682002,9.0244466115,81.046,2.142339,5.34653060946637,87.6636328361663,5.98982974696901,0.0684211465020184,4.03951013961974,21.0763858161,19.8326741503,46.0554530664,802.26,8.3526537531,41.6947124374,38.4787973974,11.4738364121,76.6762390661773,3.5073,86584,2.5987,2.486,33.838,69.055,885,2423,10294,8.4942411235,39.6047222362,2.3909352005,31.6,44.7634264339,3.4888865244,544.9922456,25.13,62.28,7.1953,238.6202997,3.3961293723,136.1945151258,4.97829248,25.9550026378204,42.5270546564776,31.517942705702,34.29,22.348833882,4.172843039,16.634139362,12.658749463,NA,9.067391615,NA,14.123909,20.808127057,NA,57.7083005552,10.3504079477,2.3825043267
"NW",43.223,179.0884607417,18.2402887352,61.4302570391,20.3294542258,50.6073155496,14.6935659255,5.1744941526,1.8331167626,10.02413217,6.9844069055,19.022,2.236778,91.7336993822924,1.43258586135896,2.60440301990391,0.379474124914207,5.18325326012354,65.7048730268,9.8339052848,17.3534660261,275.94,5.370732768,37.0261651084,33.311589476,24.2915126477,81.3834139041479,0.8348,71329,3.38691018,1.239,6.795,15.632,457,570,3071,19.6787473848,13.9126760563,1.4977010971,39.9,49.5336354458,6.9320424852,625.8465405,16.91,68.11,0.903,122.6199014,2.3043287139,137.0335238183,4.472652033,17.1462543558665,49.6727931561698,33.1809524879637,32.45,NA,35.795983508,NA,64.204016492,NA,NA,NA,NA,NA,NA,28.8812865089,3.002164351,1.3498103284
"OW",37.841,78.7337189464,20.1870986496,61.0448983906,18.7680029598,27.3988530958,14.65341825,4.9326402885,1.1403415721,10.1835154344,6.8420494325,16.025,2.325866,91.2314265671832,1.32987440214272,1.57138049231554,0.186796632867802,4.36196671130668,69.6384159174,7.314584529,15.4518206747,490.64,3.8296918311,36.857981412,40.6958258601,18.6165008968,84.2635251159181,0.722,66970,0.981,1.743,7.226,13.22,651,534,2469,34.7975204545,12.698029316,0.8669850248,49.1,47.9146645908,5.1099577291,602.1024617,13.17,68.64,1.0725,124.2039058,1.3292098554,139.293359055,4.245325147,22.1510493124816,49.0954295080113,28.7535211795072,26.48,11.591707418,36.67607962,2.920311316,37.275294442,NA,NA,NA,NA,NA,NA,35.5821689953,2.3952095808,1.7032601464
"SG",507.697,260.2239876986,20.5335071903,61.2174190511,18.2490737586,82.4271169615,24.1092620205,5.2075153376,1.8016896767,10.6046822201,7.6650832738,220.28,2.26913,88.023586050074,1.20522908153314,3.54004823770628,0.325866161772331,3.60878934774439,43.9674324125,20.9065739336,19.0643597562,2030.73,9.5571543238,46.4975649151,30.4988846375,13.4463961236,80.7791153179534,1.8355,73059,0.9659,11.227,87.522,202.51,4133,6716,27890,13.3957143016,18.0768375949,2.1797159929,42.6,47.4987109722,5.5456947739,556.2270402,21.96,60.54,2.1679,195.3921335,4.5277086727,153.107069768,4.954525955,19.4420057526804,51.9529587012823,28.6050355460373,22.54,14.994611338,18.780428983,12.690110486,31.319242422,1.56428209,7.31853147,0.636465038,NA,10.535650584,1.179099528,36.5236998847,9.8794101679,2.8869435649
"SH",81.991,274.9991614959,18.7959654108,60.0468344087,21.1572001805,89.7976607189,26.0577380444,4.7507683266,1.6162407709,9.4525596601,9.4770481566,37.252,2.162112,87.9062714162815,1.5995683935784,4.06380776016681,0.082789489800382,4.56103002289264,22.5485192692,35.3261107304,25.3947886441,298.43,11.4030090809,43.8896893744,43.3569011158,1.3504004289,80.1544792195472,2.8844,85895,0.7939,1.948,13.34,30.632,608,960,5001,6.5519213132,29.0291027574,2.5618083353,41.7,50.7204615936,6.7600193143,561.8861477,29.72,54.85,2.7424,191.4844312,3.5433892427,143.2352331353,5.297937357,18.0792301018416,50.6169458375615,31.3038240605969,23.42,11.034767528,2.142208275,26.15575192,39.451647535,1.879593691,5.949293914,NA,NA,6.829630853,NA,46.3423928409,8.7276124448,5.0521812885
"SO",273.194,345.6183186792,19.0542252026,61.3864140501,19.5593607473,85.972971588,22.6194572355,4.6968011075,2.1152130086,9.7644989406,9.0484112033,121.266,2.217439,88.4508519003932,2.69899519440804,4.81127129750983,0.104989397116645,3.83355176933159,33.1821756225,20.5251201398,31.2970729576,790.37,13.856801245,42.310563407,42.7420069082,1.0906284398,80.6426762924772,1.8775,65459,0.6101,4.231,37.523,101.441,1438,3089,13791,15.3288498658,23.1132503671,3.3988277898,50.4,49.6384297673,5.5856384143,579.3753132,21.66,63.53,3.5784,161.0577099,2.5124200466,158.6418442572,5.192612299,19.2406926610522,52.2072411438376,28.5520661951102,24.5,18.520253856,14.198910536,18.440053101,25.909276062,1.199423399,6.807988839,1.988767673,NA,11.41721066,0.602560937,51.9909222199,6.4509711456,1.5878746795
"SZ",159.165,186.9582070618,19.4678478309,62.7945842365,17.7375679326,82.0331102943,21.5732101907,5.0937541474,1.7189840299,10.2886250024,7.2804029501,68.181,2.293748,89.530300043968,2.03541701411526,3.22937671513259,0.342330450141759,6.41857573873888,59.3515472202,10.6432979062,19.3557924102,908.03,6.0603724547,40.5438146317,33.7367708115,19.6590421021,80.5796320242707,1.1083,60313,1.157,4.427,21.086,57.481,1642,2420,11289,11.9127231734,15.1853262516,1.4372833321,42.7,49.4822294436,8.347074033,644.8528617,18.64,67.47,1.4367,146.3889674,2.104734081,153.2874689787,4.307350822,18.0974089183787,49.1974978431557,32.7050932384656,25.35,23.098084599,18.397850201,13.814815178,36.892794445,0.602669596,4.58401577,NA,NA,2.609770211,NA,26.973763676,6.7831736607,2.3839645012
"TG",276.472,320.3169895264,20.3185132672,62.0844063775,17.5970803553,67.0715298475,24.869787899,4.9211936621,1.7700305121,10.7982764919,7.5126346377,119.717,2.280269,89.4050248179651,1.24680209039424,4.2302057595172,0.193787448888111,3.40673036975488,31.5920669976,31.4704917674,21.7777097501,991.51,12.2742080261,51.9389617856,21.3895976843,14.397232504,80.7532564251911,1.891,60143,-0.2797,8.691,40.825,86.544,2675,3584,14416,14.3683690487,19.3262468542,2.6512117706,47,51.4435133198,9.4788130428,631.1700834,17.35,67.39,1.5898,161.3183252,5.6251033088,151.5741196215,5.073255053,18.3493581538327,53.2516728562328,28.3989689899345,23.43,11.453251962,12.691685861,12.642046443,36.674715675,2.667306876,8.147823404,2.274830727,NA,10.599175615,2.849163437,35.6828499531,4.6201438271,2.7903477343
"TI",353.343,129.0628104728,18.140447101,59.2483790538,22.6111738452,92.7651035962,27.7993337918,3.6998693165,1.9234794612,7.2300198571,8.9158930319,163.485,2.125253,10.6022351268388,4.97853906156565,88.5296931683787,0.108449257836897,3.66629901797935,65.0545493203,3.8613078548,20.8470094216,2812.25,5.6470797404,12.9437283314,50.693572762,30.7156191661,71.8513719934292,2.7882,80532,-2.678,3.341,51.254,178.079,1200,5502,32184,20.651717978,12.5634608974,2.2904965502,40.5,47.9010936527,7.1619047619,635.1718503,18.1,68.3,2.7294,228.1069669,5.3092887081,164.2539968246,6.41675712,22.7717647116856,44.4748822090947,32.7533530792196,31.52,20.528249984,18.196590564,14.068040661,11.658416492,NA,0.989424016,NA,0.829912675,12.112355204,17.982277049,38.3309443639,9.7226816394,2.4144141088
"UR",36.433,34.4578746264,20.1465704169,59.4268932012,20.4265363819,88.6229517196,12.3432053358,4.6746961448,1.0999285046,9.7893636914,8.9094208876,15.307,2.326909,93.019631250829,0.69022260909935,2.96835183711368,0.183866328425521,2.4265388645709,78.6476986338,5.1333068046,10.0046425255,1076.3,1.855430642,24.1763448853,20.0984855524,53.8697389204,81.9703042151176,1.0617,52468,0.3683,1.499,5.316,11.635,594,416,1790,15.4317662698,11.9948190053,1.8756859224,49.1,46.270265753,10.7068750865,551.4201493,10.65,67.26,1.2122,112.5353388,1.729201548,153.8165948453,4.63125,25.0564931697621,49.65461454455,25.2888922856878,29.42,NA,39.205020921,22.251046025,36.326359833,NA,NA,NA,NA,NA,NA,20.5239813769,1.0468607951,2.4794071462
"VD",799.145,283.2803,21.98224,61.57518,16.44257,89.61916,33.19385,4.183953,1.966998,10.97299,7.222375,349.758,2.239543,5.892957,83.0614,5.374086,0.05579407,8.777979,29.12789,22.84779,32.71345,3212.21,9.320997,42.40787,32.13706,16.13406,76.76331,3.4026,68102,-5.3943,13.442,72.999,360.7,3876,8099,48551,8.641956,29.52613,1.09641,31,42.801,6.188664,526.0027,32.52,56.28,4.55853,243.0097,4.695837,127.1647,5.791335,22.6262,37.97863,39.39517,27.39,23.33975,2.425096,20.38771,17.37868,1.300074,8.372753,0.3760392,4.068433,19.6776,0.4038929,61.5335,10.19254,4.438118
"VS",343.955,65.9674607452,19.7714817345,60.6183948482,19.6101234173,78.7931560815,22.6994810368,4.3535477621,2.080482275,9.7050267136,7.948434386,150.387,2.244589,25.2949754274778,67.6589151634546,4.1545439886707,0.0529381866109549,3.67676441926822,70.0001402141,5.4658964238,15.4501924439,5224.77,3.5337440691,18.9872472855,23.9763664238,53.5026422216,77.796523739133,2.7177,54083,2.1563,10.127,37.409,129.154,3122,4397,21749,18.6186652216,13.3781269231,2.0908906914,57.3,45.5453551499,8.4941151497,645.0449976,13.86,69.73,1.7996,180.5468739,3.9107536974,138.9367795206,6.028074475,27.2982180993186,45.2740300566475,27.4277518440338,29.88,16.481001968,34.784426029,15.066706393,19.775916248,1.030498026,0.796211111,NA,NA,10.588353818,NA,32.533539505,9.9161548982,3.5875043563
"ZG",126.837,612.2954380883,20.2850903128,62.7553474144,16.9595622728,100,28.3198120422,5.3992341175,1.8711002228,10.6478288102,6.4537100905,54.467,2.291608,81.5982256872102,3.3834839130894,3.98260251745029,0.209548769598571,11.5387938897583,50.1176154311,13.7557247511,23.5115647173,238.71,13.849440744,43.4250764526,27.3511792552,15.3743035482,80.5873000394071,1.9376,151747,-0.882,1.897,22.236,88.783,592,1688,15675,16.1031229034,19.121643088,0.4150365708,33.8,47.251849136,5.0908445477,677.90083,30.59,52.06,1.668,208.929571,4.4703044064,131.2708436813,4.503292377,12.9971958434372,41.1715652129342,45.8312389436285,32.57,14.676798965,23.781401048,9.345428552,26.610899312,0.820341752,5.535604874,NA,NA,19.229525495,NA,34.770891637,4.6403712297,2.4876216901
"ZH",1520.968,915.7879,19.73598,63.25307,17.01094,99.32852,26.85093,5.471829,2.013675,11.18495,7.31296,680.791,2.192661,81.89413,3.329431,5.828187,0.3223503,8.821486,26.16919,28.2363,29.36553,1728.85,21.8602,41.65428,30.35081,6.134714,81.97268,2.1275,95608,2.3845,11.563,139.281,876.583,3678,13233,101736,13.43922,21.82717,0.8902232,29.2,44.51524,5.436269,492.3801,46.43,40.59,3.2041,261.4125,4.097819,138.1081,5.229995,14.92121,42.40158,42.67721,22.15,13.66091,4.408446,17.30927,26.70001,3.301502,13.99456,1.64026,0.3102075,14.07711,1.797094,60.33984,8.813797,6.362233
